Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Ronnie Rivers,LAR,24,RB,6,0,13,57,0,2,53.8,9,4.4,9.5,0
P.J. Walker,CLE,28,QB,6,2,13,30,0,3,46.2,9,2.3,5.0,4
Cooper Rush,DAL,30,QB,6,0,12,-5,0,1,8.3,6,-0.4,-0.8,0
Boston Scott,PHI,28,RB,9,0,12,67,0,5,75.0,18,5.6,7.4,0
Laviska Shenault Jr.,CAR,25,WR,8,0,12,55,0,3,50.0,11,4.6,6.9,1
Isaiah Spiller,LAC,22,RB,5,0,12,27,0,0,25.0,6,2.3,5.4,0
Ryan Tannehill,TEN,35,QB,6,6,12,40,1,2,33.3,13,3.3,6.7,3
Dorian Thompson-Robinson,CLE,24,QB,5,3,12,65,0,3,33.3,12,5.4,13.0,2
Trayveon Williams,CIN,26,RB,11,0,12,59,0,2,41.7,15,4.9,5.4,0
Raheem Blackshear,CAR,24,RB,6,0,11,30,0,1,36.4,9,2.7,5.0,0
Tank Dell,HOU,24,WR,10,8,11,51,0,3,54.5,13,4.6,5.1,1
Damien Williams,ARI,31,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,0
Ty Johnson,BUF,26,RB,6,0,10,32,0,3,60.0,13,3.2,5.3,0
Kyle Allen,BUF,27,QB,5,0,9,-9,0,0,0.0,-1,-1.0,-1.8,0
Gary Brightwell,NYG,24,RB,7,0,9,19,0,0,22.2,5,2.1,2.7,0
DeeJay Dallas,SEA,25,RB,12,0,9,34,0,1,66.7,8,3.8,2.8,2
Derius Davis,LAC,23,WR,11,0,9,74,0,3,44.4,51,8.2,6.7,2
Taylor Heinicke,ATL,30,QB,3,2,9,68,0,2,44.4,16,7.6,22.7,0
CeeDee Lamb,DAL,24,WR,12,12,9,84,1,5,77.8,24,9.3,7.0,2
Elijah Moore,CLE,23,WR,11,7,9,11,0,2,33.3,19,1.2,1.0,2
Calvin Austin,PIT,24,WR,11,1,8,30,0,2,50.0,10,3.8,2.7,0
Khari Blasingame,CHI,27,FB,11,1,8,26,0,0,25.0,6,3.3,2.4,0
Jake Browning,CIN,27,QB,3,1,8,48,0,2,62.5,19,6.0,16.0,1
Sam Darnold,SFO,26,QB,5,0,8,-8,0,0,0.0,-1,-1.0,-1.6,0
J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,50.0,4,2.8,22.0,0
Zach Evans,LAR,22,RB,6,0,8,16,0,0,0.0,5,2.0,2.7,0
Zay Flowers,BAL,23,WR,12,12,8,56,1,1,50.0,37,7.0,4.7,0
Trey Sermon,IND,24,RB,9,0,8,24,0,0,37.5,5,3.0,2.7,0
Kadarius Toney,KAN,24,WR,10,2,8,9,0,1,12.5,14,1.1,0.9,1
KaVontae Turpin,DAL,27,WR,11,0,8,79,1,4,62.5,46,9.9,7.2,1
Jayden Reed,GNB,23,WR,11,9,7,81,1,4,57.1,32,11.6,7.4,2
Tre Tucker,LVR,22,WR,11,0,7,63,0,2,71.4,34,9.0,5.7,0
Tyrion Davis-Price,SFO,23,RB,1,0,6,21,0,1,50.0,15,3.5,21.0,0
Tyler Huntley,BAL,25,QB,3,0,6,16,0,1,16.7,8,2.7,5.3,0
Marvin Mims,DEN,21,WR,11,3,6,10,0,1,33.3,11,1.7,0.9,1
Aidan O'Connell,LVR,25,QB,6,5,6,9,1,4,66.7,3,1.5,1.5,4
Wan'Dale Robinson,NYG,22,WR,10,4,6,27,0,2,50.0,10,4.5,2.7,0
Tyler Scott,CHI,22,WR,12,2,6,44,0,2,83.3,16,7.3,3.7,1
Rashid Shaheed,NOR,25,WR,11,5,6,33,0,1,83.3,12,5.5,3.0,1
Clayton Tune,ARI,24,QB,4,1,6,29,1,2,66.7,11,4.8,7.3,1
Ameer Abdullah,LVR,30,RB,12,0,5,30,0,1,40.0,11,6.0,2.5,0
Andrew Beck,HOU,27,FB,10,9,5,3,1,2,40.0,2,0.6,0.3,1
Mike Boone,HOU,28,RB,9,0,5,23,0,2,60.0,11,4.6,2.6,1
Harrison Bryant,CLE,25,TE,11,5,5,8,0,4,80.0,2,1.6,0.7,1
Erik Ezukanma,MIA,23,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,0
Kyle Juszczyk,SFO,32,FB,11,10,5,6,0,2,60.0,3,1.2,0.5,0
Rashaad Penny,PHI,27,RB,2,0,5,17,0,1,40.0,6,3.4,8.5,0
Brandon Powell,MIN,28,WR,12,2,5,17,0,1,60.0,9,3.4,1.4,1
Kalif Raymond,DET,29,WR,11,3,5,58,0,2,60.0,40,11.6,5.3,0
Calvin Ridley,JAX,29,WR,11,11,5,28,0,2,40.0,18,5.6,2.5,1
Deven Thompkins,TAM,24,WR,11,1,5,50,0,3,100.0,17,10.0,4.5,3
Mike White,MIA,28,QB,3,0,5,-7,0,0,0.0,-1,-1.4,-2.3,0
Malik Willis,TEN,24,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1
Jamal Agnew,JAX,28,WR,8,1,4,-2,0,0,0.0,1,-0.5,-0.3,1
Tutu Atwell,LAR,24,WR,11,11,4,35,0,2,75.0,22,8.8,3.2,0
Michael Burton,DEN,31,FB,11,2,4,3,0,2,50.0,3,0.8,0.3,0
Elijah Dotson,LAC,24,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,0
Demario Douglas,NWE,23,WR,10,4,4,29,0,1,75.0,20,7.3,2.9,3
Devin Duvernay,BAL,26,WR,12,1,4,15,0,0,50.0,8,3.8,1.3,0
Xavier Gipson,NYJ,22,WR,11,1,4,34,0,2,50.0,18,8.5,3.1,4
Marquise Goodwin,CLE,33,WR,8,0,4,33,0,2,50.0,20,8.3,4.1,0
Jaren Hall,MIN,25,QB,2,1,4,10,0,0,0.0,8,2.5,5.0,1
Deonte Harty,BUF,26,WR,11,1,4,0,0,0,25.0,4,0.0,0.0,1
Xavier Hutchinson,HOU,23,WR,11,0,4,44,0,3,100.0,17,11.0,4.0,0
Velus Jones Jr.,CHI,26,WR,9,0,4,22,0,1,50.0,17,5.5,2.4,0
Curtis Samuel,WAS,27,WR,11,8,4,20,1,2,75.0,13,5.0,1.8,0
